appid,Title,Type,Price,Release_Date,Rating,Required_Age,Is_Multiplayer
379230,"FSX: Steam Edition - Pushing the Envelope Add-On","dlc",9.99,"2015-09-23 00:00:00",-1,0,1
210720,"Blades of Time Demo","demo",0,"2012-04-20 00:00:00",63,0,0
316450,"So Many Me Demo","demo",0,"2014-07-31 00:00:00",78,0,0
254100,"World War II: Panzer Claws","game",4.99,"2013-09-27 00:00:00",61,0,1
46700,"Ironclads: American Civil War","game",9.99,"2010-04-28 00:00:00",-1,0,0
285310,"RollerCoaster Tycoon®: Deluxe","game",5.99,"2014-05-21 00:00:00",-1,0,0
326033,"TS Marketplace: DR Komfortwagen Coach Pack","dlc",4.99,"2016-02-02 00:00:00",-1,0,0
331000,"Fantasy Grounds - FATE Core Ruleset","dlc",4.99,"2014-10-30 00:00:00",-1,0,1
436588,"Rocksmith® 2014 – Imagine Dragons Song Pack","dlc",7.99,"2016-03-22 00:00:00",-1,0,0
3432,"Pizza Frenzy Deluxe Free Demo","demo",0,"1970-01-01 00:00:00",-1,0,0
17530,"D.I.P.R.I.P. Warm Up","mod",0,"2008-10-03 00:00:00",-1,0,1
284020,"Freddi Fish and Luther's Maze Madness","game",4.99,"2014-04-17 00:00:00",-1,0,0
270810,"Jones On Fire","game",2.99,"2015-03-27 00:00:00",-1,0,0
225829,"Borderlands 2: Mechromancer Madness Pack","dlc",0.99,"2013-01-22 00:00:00",-1,17,0
290810,"Colossal Kaiju Combat™: Kaijuland Battles","game",4.99,"2014-08-11 00:00:00",-1,0,1
390442,"Rocksmith® 2014 – The Offspring - “Pretty Fly (For A White Guy)”","dlc",2.99,"2016-02-02 00:00:00",-1,0,0
92230,"Gundemonium Recollection Demo","demo",0,"2011-09-27 00:00:00",-1,0,0
345750,"Idol Hands","game",4.99,"2015-02-18 00:00:00",-1,0,0
313850,"Forge Pathfinder VIP Pack","dlc",9.99,"2014-08-13 00:00:00",-1,0,1
349970,"Hyphen Original Soundtrack","dlc",2.99,"2015-02-12 00:00:00",-1,0,0
385230,"Ninjahtic","game",1.99,"2015-07-06 00:00:00",-1,0,0
333580,"Slow Down, Bull","game",1.99,"2015-04-20 00:00:00",65,0,0
391430,"Toy Soldiers: War Chest - G.I. Joe Pack","dlc",4.99,"2015-08-12 00:00:00",-1,0,1
414601,"1000Gkash Package","dlc",9.99,"2015-11-26 00:00:00",-1,0,1
383680,"Void & Meddler - Soundtrack","dlc",8.99,"2015-10-28 00:00:00",-1,0,0
314500,"Pixeluvo","game",34.99,"2014-08-14 00:00:00",-1,0,0
208292,"Train Simulator: Southern Pacific Cab Forward Loco Add-On","dlc",19.99,"2012-08-23 00:00:00",-1,0,0
212200,"Mabinogi","game",0,"2012-12-06 00:00:00",-1,0,1
296030,"Qasir al-Wasat: International Edition","game",14.99,"2016-01-19 00:00:00",-1,0,0
294956,"Rocksmith® 2014 – Deftones - “Hole in the Earth”","dlc",2.99,"2014-07-15 00:00:00",-1,0,0
4500,"S.T.A.L.K.E.R.: Shadow of Chernobyl","game",19.99,"2007-03-20 00:00:00",82,17,1
204902,"Quantum Conundrum Soundtrack","dlc",4.99,"2012-08-28 00:00:00",-1,0,0
464930,"Binaries Demo","demo",0,"2016-04-25 00:00:00",-1,0,0
413052,"Battle Battalions: Infantry Starter Kit","dlc",29.99,"2015-11-03 00:00:00",-1,0,1
202181,"Sleeping Dogs - High Resolution Texture Pack","dlc",0,"2012-08-13 00:00:00",-1,17,0
414150,"SHOJS - Karamari Hospital","dlc",4.99,"2015-12-30 00:00:00",-1,0,0
410760,"Nom Nom Galaxy Original Soundtrack","dlc",7.99,"2016-02-15 00:00:00",-1,0,0
326950,"Sword of Asumi","game",8.99,"2015-01-08 00:00:00",-1,0,0
385380,"Planet Centauri","game",0,"2016-05-01 00:00:00",-1,0,1
439600,"Naruto Shippuden the Movie: Bonds","video",3.99,"2016-02-04 00:00:00",-1,0,0
311190,"Super Panda Adventures","game",3.99,"2014-07-14 00:00:00",-1,0,0
445420,"Aselia the Eternal -The Spirit of Eternity Sword-","game",14.99,"2016-04-29 00:00:00",-1,0,0
277520,"Albedo: Eyes from Outer Space","game",14.99,"2015-04-10 00:00:00",66,0,0
246110,"MASSIVE CHALICE","game",19.99,"2015-06-01 00:00:00",73,0,0
385570,"Fantasy Grounds - D&D Elemental Evil Player's Companion","dlc",2.99,"2015-07-06 00:00:00",-1,0,1
46370,"Rig n Roll","game",9.99,"2010-07-09 00:00:00",61,0,0
222280,"Star Conflict: Mercenary Pack - Soldier of Fortune","dlc",19.99,"2013-02-27 00:00:00",-1,0,1
